line_a,line_b,overlap,kmer,k,section
taškarin[boxwood]n,esi[tree]n,0,i,1,NA
esi[tree]n,ŋešnu[tree]n,1,tree,4,1
ŋešnu[tree]n,halub[tree]n,1,tree,4,1
halub[tree]n,šagkal[tree]n,1,tree,4,1
šagkal[tree]n,ŋešgana[tree]n,1,tree,4,1
ŋešgana[tree]n,ŋešgana[tree]n_babbar[white]v/i,2,ŋešganatree,11,1
ŋešgana[tree]n_babbar[white]v/i,ŋešgana[tree]n_giggi[black]v/i,2,ŋešganatree,11,1
ŋešgana[tree]n_giggi[black]v/i,ŋeš[tree]n_giggi[black]v/i,3,treegiggiblack,14,1
ŋeš[tree]n_giggi[black]v/i,ŋeštin[vine]n,0,ŋešt,4,1
ŋeštin[vine]n,ŋeštinkira[berry]n,0,ŋeštin,6,1
ŋeštinkira[berry]n,ŋeštinkaʾa[grape]n,0,ŋeštink,7,1
ŋeštinkaʾa[grape]n,ŋeštinguruma[~vine]n,0,ŋeštin,6,1
ŋeštinguruma[~vine]n,peš[fig]n,0,eš,2,NA
peš[fig]n,hašhur[apple]n,0,š,1,NA
hašhur[apple]n,hašhur[apple]n_kur[mountain]n,2,hašhurapple,11,2
hašhur[apple]n_kur[mountain]n,šedug[tree]n,0,š,1,NA
šedug[tree]n,šenu[tree]n,1,tree,4,3
šenu[tree]n,šeše[tree]n,1,tree,4,3
šeše[tree]n,šinig[tamarisk]n,0,š,1,NA
šinig[tamarisk]n,šinig[tamarisk]n_dili[single]v/i,2,šinigtamarisk,13,4
šinig[tamarisk]n_dili[single]v/i,šinig[tamarisk]n_kur[mountain]n,2,šinigtamarisk,13,4
šinig[tamarisk]n_kur[mountain]n,šaršabid[tree]n,0,š,1,NA
šaršabid[tree]n,mes[tree]n_šaršabid[tree]n,2,šaršabidtree,12,5
mes[tree]n_šaršabid[tree]n,lam[tree]n,2,tree,4,5
lam[tree]n,eš[tree]n,1,tree,4,5
eš[tree]n,usuh[tree]n,1,tree,4,5
usuh[tree]n,usuh[tree]n_tur[small]v/i,2,usuhtree,8,5
usuh[tree]n_tur[small]v/i,usuh[tree]n_pa[branch]n_kud[cut]v/t,2,usuhtree,8,5
usuh[tree]n_pa[branch]n_kud[cut]v/t,usuh[tree]n_a[water]n_de[pour]v/t,2,usuhtree,8,5
usuh[tree]n_a[water]n_de[pour]v/t,še[cone]n_usuh[tree]n,2,usuhtree,8,5
še[cone]n_usuh[tree]n,pa[branch]n_usuh[tree]n,2,usuhtree,8,5
pa[branch]n_usuh[tree]n,an[sky]n_usuh[tree]n,2,usuhtree,8,5
an[sky]n_usuh[tree]n,bir.gam.la.e[tree]n,1,tree,4,5
bir.gam.la.e[tree]n,šimgig[tree]n,1,tree,4,5
šimgig[tree]n,šennur[plum]n,0,š,1,NA
šennur[plum]n,šennur[plum]n_kur[mountain]n,2,šennurplum,10,6
šennur[plum]n_kur[mountain]n,lamgal[nut]n,0,nu,2,NA
lamgal[nut]n,lamtur[nut]n,1,lam,3,7
lamtur[nut]n,allanum[oak]n,0,la,2,NA
allanum[oak]n,ildag[poplar]n,0,la,2,NA
ildag[poplar]n,ildag[poplar]n_kur[mountain]n,2,ildagpoplar,11,8
ildag[poplar]n_kur[mountain]n,ildag[poplar]n_bur[spread]v/t,2,ildagpoplar,11,8
ildag[poplar]n_bur[spread]v/t,ildag[poplar]n_šitan[water-channel]n,2,ildagpoplar,11,8
ildag[poplar]n_šitan[water-channel]n,kur[wood]n,0,r,1,NA
kur[wood]n,ŋešaʾabak[tree]n,0,k,1,NA
ŋešaʾabak[tree]n,ŋešaʾabak[tree]n_meluhha[1]gn,2,ŋešaʾabaktree,13,9
ŋešaʾabak[tree]n_meluhha[1]gn,ŋipar[tree]n,1,tree,4,9
ŋipar[tree]n,manu[wood]n,0,a,1,NA
manu[wood]n,manu[wood]n_šu[hand]n_ak[do]v/t,2,manuwood,8,10
manu[wood]n_šu[hand]n_ak[do]v/t,manu[wood]n_gibil[firewood]n_ak[do]v/t,4,manuwood,8,10
